"","Brewery","City","Year.Founded","Address","Latitude","Longitude","Postal.Code","Ratebeer","Untappd","S_untappd"
"151","MICROBRASSERIE LE LION BLEU","ALMA","2015","45, SAINT-JOSEPH",48.55003,-71.651989,"G8B 6V4","http://www.ratebeer.com/brewers/microbrasserie-lion-bleu/23898/","https://untappd.com/MicroLionBleu",3.72
"152","MICROBRASSERIE SAINT-ARNOULD","MONT-TREMBLANT","2016","1039, RUE SAINT-ROCK",46.12929,-74.5943,"J8E 2Y9","http://www.ratebeer.com/brewers/saint-arnould/916/","https://untappd.com/w/microbrasserie-saintarnould/3578",3.37
"153","BRASSERIE DU BOIS BLANC","HUDSON","2016","518, RUE MAIN",45.46052,-74.145062,"J0P 1H0","http://www.ratebeer.com/brewers/brasserie-du-bois-blanc/28702/","https://untappd.com/w/brasserie-du-bois-blanc/254809",3.66
"154","MONSREGIUS BIÈRES ARTISANALES","SAINT-BRUNO-DEMONTARVILLE","2016","1750, RUE MARIE-VICTORIN, SECTION 5",45.51572,-73.360482,"J3V 6B9","http://www.ratebeer.com/brewers/monsregius-bieres-artisanales/21918/","https://untappd.com/MonsRegius",3.64
"155","DOMAINE BERTHIAUME","SAINT-JEAN-SUR-RICHELIEU","2016","562, CHEMIN DU PETIT-BERNIER",45.271221,-73.307583,"J3B 6Y8","http://www.ratebeer.com/brewers/domaine-berthiaume/28265/","https://untappd.com/w/domaine-berthiaume/291098",3.53
"156","LE TEMPS D'UNE PINTE, COOP DE TRAVAIL BRASSICOLE","TROIS-RIVIERES","2016","1465, RUE NOTRE-DAME CENTRE",46.34145,-72.540636,"G9A 4X4","http://www.ratebeer.com/brewers/le-temps-dune-pinte/18549/","https://untappd.com/tempsdunepinte",3.69
"157","BRASSERIE NEW DEAL","BOUCHERVILLE","2016","1500, RUE NOBEL - LOCAL J",45.56762,-73.4183,"J4B 5H3","http://www.ratebeer.com/brewers/brasserie-new-deal-brewing-co/27242/","https://untappd.com/BrasserieNewDealBrewingCo",3.25
"158","MICROBRASSERIE LAGABIÈRE","SAINT-JEAN-SUR-RICHELIEU","2016","780, AVENUE THOMAS",45.305392,-73.250639,"J2X 5E7","http://www.ratebeer.com/brewers/lagabiere/15804/","https://untappd.com/Lagabiere",3.8
"159","MICROBRASSERIE LES GRANDS BOIS","SAINT-CASIMIR","2016","415, RUE TESSIER EST",46.657917,-72.136123,"G0A 3L0","http://www.ratebeer.com/brewers/les-grands-bois/27967/","https://untappd.com/Les_Grands_Bois",3.7
"160","MICROBRASSERIE MALTSTROM","NOTRE-DAME-DES-PRAIRIES","2016","557E, ROUTE 131",46.056006,-73.418917,"J6E 0M1","http://www.ratebeer.com/brewers/microbrasserie-maltstrom/29031/","https://untappd.com/Maltstrom",3.95
"161","HOTEL ROQUEMONT ","SAINT-RAYMOND","2016","105, GRANDE LIGNE",46.899844,-71.815251,"G3L 2Y4","http://www.ratebeer.com/brewers/microbrasserie-du-roquemont/23594/","https://untappd.com/w/roquemont/195746",3.39
"162","MICROBRASSERIE L'ARSENAL","CHARETTE","2016","473, 1er RANG NORD",46.453988,-72.9415,"G0X 1E0","http://www.ratebeer.com/brewers/larsenal/29362/","https://untappd.com/w/microbrasserie-l-arsenal/308259",3.5
"163","BRASSEURS DU MONDE","SAINT-HYACINTHE","2016","3755, RUE PICARD - LOCAL 2",45.635627,-72.984067,"J2S 1H3","http://www.ratebeer.com/brewers/brasseurs-du-monde--le-picoleur/12944/","https://untappd.com/w/brasseurs-du-monde/17022",3.55
"164","BRASSEURS DE MONTRÉAL (BERRI)","MONTRÉAL ","2008","775, RUE BERRI",45.512017,-73.553208,"H2Y 3E5","http://www.ratebeer.com/brewers/brasseurs-de-montreal/9464/","https://untappd.com/dmerineau",3.42
"165","BIÈRES JUKEBOX (BDM) GRIFFINTON","MONTRÉAL ","2012","1483, RUE OTTAWA ",45.48978,-73.564426,"H3C 1S9 ","http://www.ratebeer.com/brewers/jukebox/15116/","https://untappd.com/BieresJukebox",3.73
"166","AVANT-GARDE BRASSEURS","MONTRÉAL","2016","2350, RUE DICKSON, LOCAL 1400",45.56727,-73.5374,"H1N 3T1 ","http://www.ratebeer.com/brewers/avant-garde-artisans-brasseurs/27375/","https://untappd.com/w/avant-garde-artisans-brasseurs/274372",3.7
"167","MICROBRASSERIE VOX POPULI","?","2016","?",45.56727,-73.5374,"?","http://www.ratebeer.com/brewers/microbrasserie-vox-populi/21877/","https://untappd.com/VoxNation",3.89
"168","LE GRIENDEL","QUÉBEC","2015","195, RUE SAINT-VALLIER OUEST",46.811779,-71.234812,"G1K 1K2","http://www.ratebeer.com/brewers/griendel-brasserie-artisanale/24899/","https://untappd.com/Griendel",3.64
"169","BROUHAHA (AHUNTSIC)","MONTRÉAL","2008","10295, AVENUE PAPINEAU",45.56826,-73.6531,"H2B 2A1","http://www.ratebeer.com/brewers/broue-pub-brouhaha/9459/","https://untappd.com/w/broue-pub-brouhaha/13643",3.68
"170","BROUHAHA (ROSEMONT)","MONTRÉAL","2008","5860, AVENUE DE LORIMIER",45.54238,-73.5884,"H2G 2N9","http://www.ratebeer.com/brewers/broue-pub-brouhaha/9459/","https://untappd.com/w/broue-pub-brouhaha/13643",3.68
"171","ISLE DE GARDE","MONTRÉAL ","2014","1039, RUE BEAUBIEN EST",45.537684,-73.601736,"H2S 1T3","http://www.ratebeer.com/brewers/isle-de-garde/21105/","https://untappd.com/v/isle-de-garde/2068439",NA
"172","BOSWELL BRASSERIE ARTISANALE","MONTRÉAL ","2015","2407, RUE MONT-ROYAL EST",45.538315,-73.56958,"H2H 1L1","http://www.ratebeer.com/brewers/boswell-brasserie-artisanale/24953/","https://untappd.com/Boswell",3.72
"173","NOIRE ET BLANCHE","SAINT-EUSTACHE ","2012","196, RUE SAINT-EUSTACHE",45.558247,-73.894361,"J7R 2L5","http://www.ratebeer.com/brewers/noire-et-blanche/14989/","https://untappd.com/NoireetBlancheMicrobrasserie",3.68
"174","YÏSST","MONTRÉAL","?","901, ST-ZOTIQUE",45.53821,-73.6062,"H2S 1M9","http://www.ratebeer.com/p/yisst/57900/","?",NA
"175","BIRRA","MONTRÉAL","?","7129, BOULEVARD SAINT-LAURENT",45.53444,-73.6178,"H2S 0B2","?","https://untappd.com/v/birra/4054597",NA
